,game_name,link_on_bgg,game_id
0,Gloomhaven (2017),https://boardgamegeek.com/boardgame/174430/gloomhaven,174430
1,Pandemic Legacy: Season 1 (2015),https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,161936
2,Through the Ages: A New Story of Civilization (2015),https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,182028
3,Star Wars: Rebellion (2016),https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,187645
4,Twilight Imperium (Fourth Edition) (2017),https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,233078
5,Twilight Struggle (2005),https://boardgamegeek.com/boardgame/12333/twilight-struggle,12333
6,Spirit Island (2017),https://boardgamegeek.com/boardgame/162886/spirit-island,162886
7,Mage Knight Board Game (2011),https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,96848
8,Terraforming Mars (2016),https://boardgamegeek.com/boardgame/167791/terraforming-mars,167791
9,Mansions of Madness: Second Edition (2016),https://boardgamegeek.com/boardgame/205059/mansions-madness-second-edition,205059
10,Blood Rage (2015),https://boardgamegeek.com/boardgame/170216/blood-rage,170216
11,Star Wars: Imperial Assault (2014),https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,164153
12,Tzolk'in: The Mayan Calendar (2012),https://boardgamegeek.com/boardgame/126163/tzolk-mayan-calendar,126163
13,Root (2018),https://boardgamegeek.com/boardgame/237182/root,237182
14,Azul (2017),https://boardgamegeek.com/boardgame/230802/azul,230802
15,Wingspan (2019),https://boardgamegeek.com/boardgame/266192/wingspan,266192
16,Clank!: A Deck-Building Adventure (2016),https://boardgamegeek.com/boardgame/201808/clank-deck-building-adventure,201808
17,Rising Sun (2018),https://boardgamegeek.com/boardgame/205896/rising-sun,205896
18,Eldritch Horror (2013),https://boardgamegeek.com/boardgame/146021/eldritch-horror,146021
19,Nemesis (2018),https://boardgamegeek.com/boardgame/167355/nemesis,167355
20,Forbidden Stars (2015),https://boardgamegeek.com/boardgame/175155/forbidden-stars,175155
21,Descent: Journeys in the Dark (Second Edition) (2012),https://boardgamegeek.com/boardgame/104162/descent-journeys-dark-second-edition,104162
22,Kemet (2012),https://boardgamegeek.com/boardgame/127023/kemet,127023
23,Stone Age (2008),https://boardgamegeek.com/boardgame/34635/stone-age,34635
24,Dead of Winter: A Crossroads Game (2014),https://boardgamegeek.com/boardgame/150376/dead-winter-crossroads-game,150376
25,A Game of Thrones: The Board Game (Second Edition) (2011),https://boardgamegeek.com/boardgame/103343/game-thrones-board-game-second-edition,103343
26,Inis (2016),https://boardgamegeek.com/boardgame/155821/inis,155821
27,Everdell (2018),https://boardgamegeek.com/boardgame/199792/everdell,199792
28,Jaipur (2009),https://boardgamegeek.com/boardgame/54043/jaipur,54043
29,Decrypto (2018),https://boardgamegeek.com/boardgame/225694/decrypto,225694
30,Memoir '44 (2004),https://boardgamegeek.com/boardgame/10630/memoir-44,10630
31,Cosmic Encounter (2008),https://boardgamegeek.com/boardgame/39463/cosmic-encounter,39463
32,Sagrada (2017),https://boardgamegeek.com/boardgame/199561/sagrada,199561
33,This War of Mine: The Board Game (2017),https://boardgamegeek.com/boardgame/188920/war-mine-board-game,188920
34,Splendor (2014),https://boardgamegeek.com/boardgame/148228/splendor,148228
35,Zombicide: Black Plague (2015),https://boardgamegeek.com/boardgame/176189/zombicide-black-plague,176189
36,Viticulture (2013),https://boardgamegeek.com/boardgame/128621/viticulture,128621
37,Cyclades (2009),https://boardgamegeek.com/boardgame/54998/cyclades,54998
38,Detective: A Modern Crime Board Game (2018),https://boardgamegeek.com/boardgame/223321/detective-modern-crime-board-game,223321
39,Deception: Murder in Hong Kong (2014),https://boardgamegeek.com/boardgame/156129/deception-murder-hong-kong,156129
40,The Magnificent (2019),https://boardgamegeek.com/boardgame/283863/magnificent,283863
41,Dominion (Second Edition) (2016),https://boardgamegeek.com/boardgame/209418/dominion-second-edition,209418
42,Jackal Archipelago (2017),https://boardgamegeek.com/boardgame/205039/jackal-archipelago,205039
43,Don't Drop the Soap (2017),https://boardgamegeek.com/boardgame/236360/dont-drop-soap,236360
44,Just One (2018),https://boardgamegeek.com/boardgame/254640/just-one,254640
45,Ankh: Gods of Egypt (2020),https://boardgamegeek.com/boardgame/285967/ankh-gods-egypt,285967
46,Spyfall: Time Travel (2018),https://boardgamegeek.com/boardgame/256085/spyfall-time-travel,256085
47,Blood Bowl (2016 edition) (2016),https://boardgamegeek.com/boardgame/212445/blood-bowl-2016-edition,212445
48,Android: Netrunner (2012),https://boardgamegeek.com/boardgame/124742/android-netrunner,124742
49,Tainted Grail: The Fall of Avalon (2019),https://boardgamegeek.com/boardgame/264220/tainted-grail-fall-avalon,264220
50,Colony (2016),https://boardgamegeek.com/boardgame/192934/colony,192934
51,Kero (2018),https://boardgamegeek.com/boardgame/222219/kero,222219
52,Pandemic Legacy: Season 2 (2017),https://boardgamegeek.com/boardgame/221107/pandemic-legacy-season-2,221107
53,Era: Medieval Age (2019),https://boardgamegeek.com/boardgame/270971/era-medieval-age,270971
54,The Isle of Cats (2019),https://boardgamegeek.com/boardgame/281259/isle-cats,281259
55,Ticket to Ride (2004),https://boardgamegeek.com/boardgame/9209/ticket-ride,9209
56,Castles of Mad King Ludwig (2014),https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig,155426
57,Tyrants of the Underdark (2016),https://boardgamegeek.com/boardgame/189932/tyrants-underdark,189932
58,Red Outpost (2019),https://boardgamegeek.com/boardgame/287589/red-outpost,287589
59,A War of Whispers (2019),https://boardgamegeek.com/boardgame/253499/war-whispers,253499
60,Adrenaline (2016),https://boardgamegeek.com/boardgame/202408/adrenaline,202408
61,Roll Player (2016),https://boardgamegeek.com/boardgame/169426/roll-player,169426
62,Trapwords (2018),https://boardgamegeek.com/boardgame/257527/trapwords,257527
63,The Resistance (2009),https://boardgamegeek.com/boardgame/41114/resistance,41114
64,Combo Color (2019),https://boardgamegeek.com/boardgame/289601/combo-color,289601
65,ICECOOL (2016),https://boardgamegeek.com/boardgame/177524/icecool,177524
66,Teotihuacan: City of Gods (2018),https://boardgamegeek.com/boardgame/229853/teotihuacan-city-gods,229853
67,Not Alone (2016),https://boardgamegeek.com/boardgame/194879/not-alone,194879
68,Room 25 Ultimate (2016),https://boardgamegeek.com/boardgame/212956/room-25-ultimate,212956
69,Каркассон: Королевский Подарок (2013),https://boardgamegeek.com/boardgame/160094/karkasson-korolevskij-podarok,160094
70,Raptor (2015),https://boardgamegeek.com/boardgame/177639/raptor,177639
71,Spartacus: A Game of Blood & Treachery (2012),https://boardgamegeek.com/boardgame/128671/spartacus-game-blood-treachery,128671
72,XCOM: The Board Game (2015),https://boardgamegeek.com/boardgame/163602/xcom-board-game,163602
73,Steel Arena: Friday Night Robot Fight (2016),https://boardgamegeek.com/boardgame/205774/steel-arena-friday-night-robot-fight,205774
74,King of Tokyo (2011),https://boardgamegeek.com/boardgame/70323/king-tokyo,70323
75,Eight-Minute Empire (2012),https://boardgamegeek.com/boardgame/131366/eight-minute-empire,131366
76,Clash of Cultures (2012),https://boardgamegeek.com/boardgame/40765/clash-cultures,40765
77,One Night Ultimate Werewolf (2014),https://boardgamegeek.com/boardgame/147949/one-night-ultimate-werewolf,147949
78,Panic on Wall Street! (2011),https://boardgamegeek.com/boardgame/104581/panic-wall-street,104581
79,Zombicide (2012),https://boardgamegeek.com/boardgame/113924/zombicide,113924
80,Colt Express (2014),https://boardgamegeek.com/boardgame/158899/colt-express,158899
81,Dice Forge (2017),https://boardgamegeek.com/boardgame/194594/dice-forge,194594
82,Dungeon Petz (2011),https://boardgamegeek.com/boardgame/97207/dungeon-petz,97207
83,Stockpile (2015),https://boardgamegeek.com/boardgame/161614/stockpile,161614
84,Camel Up (2014),https://boardgamegeek.com/boardgame/153938/camel,153938
85,Downforce: Wild Ride (2020),https://boardgamegeek.com/boardgameexpansion/281941/downforce-wild-ride,281941
86,Downforce (2017),https://boardgamegeek.com/boardgame/215311/downforce,215311
87,Vikings Gone Wild (2017),https://boardgamegeek.com/boardgame/187377/vikings-gone-wild,187377
88,When I Dream (2016),https://boardgamegeek.com/boardgame/198454/when-i-dream,198454
89,A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons (2018),https://boardgamegeek.com/boardgameexpansion/257496/game-thrones-board-game-second-edition-mother-drag,257496
90,8Bit Box: Double Rumble (2019),https://boardgamegeek.com/boardgameexpansion/264450/8bit-box-double-rumble,264450
91,Black Angel (2019),https://boardgamegeek.com/boardgame/230244/black-angel,230244
92,Star Realms: Frontiers (2018),https://boardgamegeek.com/boardgame/230253/star-realms-frontiers,230253
